Date Added,Song,Artist,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
01/07/2020,Kraazy,LikyBo,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/2020,death bed (coffee for your head) (feat. beabadoobee),Powfu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/13/2020,Whip Out The Stick,PYT NY X Young Ant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/14/2020,Roscoes,ZaeHD & CEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/17/2020,Opaul,Freddie Dredd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/28/2020,I Did It,Kris Yute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/28/2020,Hit Tha Roof,Speed Gang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/29/2020,Bring My Name Up,Matthew Holt,44500,62200,76500,87700,96900,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2020,Bruh,Hovey Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2020,Bussin,Tay Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/19/2020,Walked In,Ultradiox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/19/2020,My Heart Went Oops,Tiagz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/24/2020,Stuck Up,Music with Edgar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/24/2020,She Gon Go,Trill Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/24/2020,3 Vets,The Future Kingz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/27/2020,Comatose,Jadn (Jaden Hossler),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/27/2020,Genocide,Lil Darkie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
