Date Added,Song,Artist,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
01/07/2020,Kraazy,LikyBo,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/2020,death bed (coffee for your head) (feat. beabadoobee),Powfu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/13/2020,Whip Out The Stick,PYT NY X Young Ant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/14/2020,Roscoes,ZaeHD & CEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/17/2020,Opaul,Freddie Dredd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/28/2020,I Did It,Kris Yute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/28/2020,Hit Tha Roof,Speed Gang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/29/2020,Bring My Name Up,Matthew Holt,25,0,23,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2020,Bruh,Hovey Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2020,Bussin,Tay Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/19/2020,Walked In,Ultradiox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/19/2020,My Heart Went Oops,Tiagz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/24/2020,Stuck Up,Music with Edgar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/24/2020,She Gon Go,Trill Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/24/2020,3 Vets,The Future Kingz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/27/2020,Comatose,Jadn (Jaden Hossler),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/27/2020,Genocide,Lil Darkie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/2020,Now I'm a Baby,Garrett Watts (YouTuber),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/2020,Your Side,Witt Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/2020,Pressure,Yungster Jack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2020,1999 She,Deaton Chris Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/03/2020,She Belongs to the Streets (Toxic),Rontae Don't Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/03/2020,Need A Freak,Mighty Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/03/2020,French Kiss,Jeremy Kingg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/03/2020,Eighteen,Trust'N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/05/2020,Divine,Alex Aster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/06/2020,My Tech,Westmadeishy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/08/2020,Ace,Nour Khodr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/08/2020,Red Head,Cochise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/10/2020,Hit Yo Groove,RunitupTahj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/10/2020,Drown,Andre Swilley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/11/2020,Pew Pew Pew,Auntie Hammy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/12/2020,Corona Virus,Lil Nix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/12/2020,Nana Fanatic,Young Fanatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/15/2020,Skinny Legend Anthem,Ava Louise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/15/2020,Comments,Brokeasf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/15/2020,Friends,Laundry Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/16/2020,Take It,PXTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/17/2020,Tank,Kai Ca$h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/18/2020,The Drip,Kiiingsam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/26/2020,Rockstar Shit,Blind.See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2020,Outta There,Moe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/22/2020,JoJo Pose,Apollo Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/18/2020,Wipe It Down,BMW Kenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/13/2020,Hatchback,Cochise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/17/2020,Then Leave,Beatking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/19/2020,Stunnin',Curtis Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/19/2020,I See Red,Everybody Loves an Outlaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/24/2020,Hood Baby,KBFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/24/2020,Body,Jordan Suaste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/27/2020,2z Don Corleon,Lil 2z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/06/2020,Medulla,9baby Eli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/14/2020,Backyard Boy,Claire Rosinkranz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/02/2020,Splenda,Naliya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/19/2020,Malibu,Lucus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/21/2020,We All Tryna F***,Ysl Jalen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/09/2020,Lets Link,WhoHeem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/22/2020,Convenient,Griffin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/25/2020,I'm Okay Now,badly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/26/2020,Capitalize Off Pain,Big $tunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2020,Pull Up,LMB DG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2020,Whoopty,CJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,Debacle,Epwoppomusic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/08/2020,Die Very Rough,Mario Judah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2020,Fuck Up the Friendship,Leah Kate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2020,BookBag 2.0,BigKayBeezy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/2020,Violent,carolesdaughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/2020,Love You From a Distance,Ashley Kutcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2020,Rät,Penelope Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,Adderall (Corvette Corvette),Popp Hunna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/09/2020,L3ft 2ight,ShowtimeKwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2020,Crazy,J Nanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2020,Where U At?,MoneyatMidnight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2020,Walk With Me,GoldFord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2020,Viernes 13,Marcos Menchaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2020,Out the Frame,Marv Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/2020,Hailey,WRENN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2020,She Gone Enter,lil.eaarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2020,Feelings,ssgkobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2020,Sandlot,ssgkobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2020,Chanel Bag,KillBunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2020,Jugg,KillBunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2020,Crucial,Alshawn Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
